Model,Column,Variable,Hyperparameter
SKTree,ConsigneeKey_NIKEPH_LFREG01,ConsigneeKey_NIKEPH_LFREG01_-1,2.1283678313010967
SKTree,ConsigneeKey_NIKEPH_LFREG01,ConsigneeKey_NIKEPH_LFREG01_-10,2.8109835695918277
SKTree,ConsigneeKey_NIKEPH_LFREG01,ConsigneeKey_NIKEPH_LFREG01_-11,4.246581076369639
SKTree,ConsigneeKey_NIKEPH_LFREG01,ConsigneeKey_NIKEPH_LFREG01_-12,4.5499678072703915
SKTree,ConsigneeKey_NIKEPH_LFREG01,ConsigneeKey_NIKEPH_LFREG01_-13,2.2835856469412597
SKTree,ConsigneeKey_NIKEPH_LFREG01,ConsigneeKey_NIKEPH_LFREG01_-14,3.590748638737989
SKTree,ConsigneeKey_NIKEPH_LFREG01,ConsigneeKey_NIKEPH_LFREG01_-2,3.465701280984767
SKTree,ConsigneeKey_NIKEPH_LFREG01,ConsigneeKey_NIKEPH_LFREG01_-3,2.59746188479254
SKTree,ConsigneeKey_NIKEPH_LFREG01,ConsigneeKey_NIKEPH_LFREG01_-4,2.9608023781650523
SKTree,ConsigneeKey_NIKEPH_LFREG01,ConsigneeKey_NIKEPH_LFREG01_-5,1.8377898168184297
SKTree,ConsigneeKey_NIKEPH_LFREG01,ConsigneeKey_NIKEPH_LFREG01_-6,2.8987533925988367
SKTree,ConsigneeKey_NIKEPH_LFREG01,ConsigneeKey_NIKEPH_LFREG01_-7,3.304891392570515
SKTree,ConsigneeKey_NIKEPH_LFREG01,ConsigneeKey_NIKEPH_LFREG01_-8,4.408093001641819
SKTree,ConsigneeKey_NIKEPH_LFREG01,ConsigneeKey_NIKEPH_LFREG01_-9,0.06889626733816934
SKTree,ConsigneeKey_NIKEPH_LFREG01,New Quantity_NIKEPH_LFREG01_-1,4.532390848658056
SKTree,ConsigneeKey_NIKEPH_LFREG01,New Quantity_NIKEPH_LFREG01_-10,4.450133657134922
SKTree,ConsigneeKey_NIKEPH_LFREG01,New Quantity_NIKEPH_LFREG01_-11,0.46867437953606483
SKTree,ConsigneeKey_NIKEPH_LFREG01,New Quantity_NIKEPH_LFREG01_-12,1.5291370671996312
SKTree,ConsigneeKey_NIKEPH_LFREG01,New Quantity_NIKEPH_LFREG01_-13,3.0709720090163946
SKTree,ConsigneeKey_NIKEPH_LFREG01,New Quantity_NIKEPH_LFREG01_-14,4.691032100973268
SKTree,ConsigneeKey_NIKEPH_LFREG01,New Quantity_NIKEPH_LFREG01_-2,4.740594823406367
SKTree,ConsigneeKey_NIKEPH_LFREG01,New Quantity_NIKEPH_LFREG01_-3,1.4191889168195326
SKTree,ConsigneeKey_NIKEPH_LFREG01,New Quantity_NIKEPH_LFREG01_-4,1.3042619456483333
SKTree,ConsigneeKey_NIKEPH_LFREG01,New Quantity_NIKEPH_LFREG01_-5,0.9562577236249109
SKTree,ConsigneeKey_NIKEPH_LFREG01,New Quantity_NIKEPH_LFREG01_-6,4.628099325575199
SKTree,ConsigneeKey_NIKEPH_LFREG01,New Quantity_NIKEPH_LFREG01_-7,3.6654485033040296
SKTree,ConsigneeKey_NIKEPH_LFREG01,New Quantity_NIKEPH_LFREG01_-8,4.3302812021116175
SKTree,ConsigneeKey_NIKEPH_LFREG01,New Quantity_NIKEPH_LFREG01_-9,3.5433010542912298
SKTree,ConsigneeKey_NIKEPH_LFREG01,learning_rate,0.31248723843360654
SKTree,ConsigneeKey_NIKEPH_LFREG01,max_depth,4.0
SKTree,ConsigneeKey_NIKEPH_LFREG01,n_estimators,0.0
SKTree,ConsigneeKey_NIKEPH_LFREG01,subsample,0.7498500433381955
