Model,Column,Variable,Hyperparameter
SKTree,ConsigneeKey_NIKEPH_LFREG05,ConsigneeKey_NIKEPH_LFREG05_-1,3.6486980655069883
SKTree,ConsigneeKey_NIKEPH_LFREG05,ConsigneeKey_NIKEPH_LFREG05_-10,3.46967080868398
SKTree,ConsigneeKey_NIKEPH_LFREG05,ConsigneeKey_NIKEPH_LFREG05_-11,2.8430326578577336
SKTree,ConsigneeKey_NIKEPH_LFREG05,ConsigneeKey_NIKEPH_LFREG05_-12,3.249795299918983
SKTree,ConsigneeKey_NIKEPH_LFREG05,ConsigneeKey_NIKEPH_LFREG05_-13,1.5508296682421387
SKTree,ConsigneeKey_NIKEPH_LFREG05,ConsigneeKey_NIKEPH_LFREG05_-14,3.4977000824287856
SKTree,ConsigneeKey_NIKEPH_LFREG05,ConsigneeKey_NIKEPH_LFREG05_-2,2.1520805684294224
SKTree,ConsigneeKey_NIKEPH_LFREG05,ConsigneeKey_NIKEPH_LFREG05_-3,4.872509245640051
SKTree,ConsigneeKey_NIKEPH_LFREG05,ConsigneeKey_NIKEPH_LFREG05_-4,4.628413893430035
SKTree,ConsigneeKey_NIKEPH_LFREG05,ConsigneeKey_NIKEPH_LFREG05_-5,4.042524420158024
SKTree,ConsigneeKey_NIKEPH_LFREG05,ConsigneeKey_NIKEPH_LFREG05_-6,0.3479612802554305
SKTree,ConsigneeKey_NIKEPH_LFREG05,ConsigneeKey_NIKEPH_LFREG05_-7,1.3442245243886974
SKTree,ConsigneeKey_NIKEPH_LFREG05,ConsigneeKey_NIKEPH_LFREG05_-8,4.899548046154067
SKTree,ConsigneeKey_NIKEPH_LFREG05,ConsigneeKey_NIKEPH_LFREG05_-9,3.1294978714867527
SKTree,ConsigneeKey_NIKEPH_LFREG05,New Quantity_NIKEPH_LFREG05_-1,2.339324082246993
SKTree,ConsigneeKey_NIKEPH_LFREG05,New Quantity_NIKEPH_LFREG05_-10,4.960183330157668
SKTree,ConsigneeKey_NIKEPH_LFREG05,New Quantity_NIKEPH_LFREG05_-11,1.9388302144437353
SKTree,ConsigneeKey_NIKEPH_LFREG05,New Quantity_NIKEPH_LFREG05_-12,2.4574042761910597
SKTree,ConsigneeKey_NIKEPH_LFREG05,New Quantity_NIKEPH_LFREG05_-13,1.5037274944070265
SKTree,ConsigneeKey_NIKEPH_LFREG05,New Quantity_NIKEPH_LFREG05_-14,3.02617929525249
SKTree,ConsigneeKey_NIKEPH_LFREG05,New Quantity_NIKEPH_LFREG05_-2,4.929224678877096
SKTree,ConsigneeKey_NIKEPH_LFREG05,New Quantity_NIKEPH_LFREG05_-3,4.4360863949569005
SKTree,ConsigneeKey_NIKEPH_LFREG05,New Quantity_NIKEPH_LFREG05_-4,3.3821393536025437
SKTree,ConsigneeKey_NIKEPH_LFREG05,New Quantity_NIKEPH_LFREG05_-5,4.008519483434742
SKTree,ConsigneeKey_NIKEPH_LFREG05,New Quantity_NIKEPH_LFREG05_-6,4.306847969453813
SKTree,ConsigneeKey_NIKEPH_LFREG05,New Quantity_NIKEPH_LFREG05_-7,1.4102163998439456
SKTree,ConsigneeKey_NIKEPH_LFREG05,New Quantity_NIKEPH_LFREG05_-8,2.36762474222143
SKTree,ConsigneeKey_NIKEPH_LFREG05,New Quantity_NIKEPH_LFREG05_-9,0.7474174983037654
SKTree,ConsigneeKey_NIKEPH_LFREG05,learning_rate,0.18310119368476568
SKTree,ConsigneeKey_NIKEPH_LFREG05,max_depth,5.0
SKTree,ConsigneeKey_NIKEPH_LFREG05,n_estimators,1.0
SKTree,ConsigneeKey_NIKEPH_LFREG05,subsample,0.8485391493724906
