Model,Column,Variable,Hyperparameter
SKTree,ConsigneeKey_NIKEPH_LFREG02,ConsigneeKey_NIKEPH_LFREG02_-1,4.727386770159504
SKTree,ConsigneeKey_NIKEPH_LFREG02,ConsigneeKey_NIKEPH_LFREG02_-10,2.8846621907648835
SKTree,ConsigneeKey_NIKEPH_LFREG02,ConsigneeKey_NIKEPH_LFREG02_-11,2.894200667380828
SKTree,ConsigneeKey_NIKEPH_LFREG02,ConsigneeKey_NIKEPH_LFREG02_-12,1.584933024308427
SKTree,ConsigneeKey_NIKEPH_LFREG02,ConsigneeKey_NIKEPH_LFREG02_-13,0.8358055980862439
SKTree,ConsigneeKey_NIKEPH_LFREG02,ConsigneeKey_NIKEPH_LFREG02_-14,0.005870546824943146
SKTree,ConsigneeKey_NIKEPH_LFREG02,ConsigneeKey_NIKEPH_LFREG02_-2,3.1823661951735858
SKTree,ConsigneeKey_NIKEPH_LFREG02,ConsigneeKey_NIKEPH_LFREG02_-3,2.758579962542051
SKTree,ConsigneeKey_NIKEPH_LFREG02,ConsigneeKey_NIKEPH_LFREG02_-4,2.717823444699763
SKTree,ConsigneeKey_NIKEPH_LFREG02,ConsigneeKey_NIKEPH_LFREG02_-5,4.229857825854691
SKTree,ConsigneeKey_NIKEPH_LFREG02,ConsigneeKey_NIKEPH_LFREG02_-6,1.582316718941244
SKTree,ConsigneeKey_NIKEPH_LFREG02,ConsigneeKey_NIKEPH_LFREG02_-7,1.776187897982081
SKTree,ConsigneeKey_NIKEPH_LFREG02,ConsigneeKey_NIKEPH_LFREG02_-8,0.7511461929762864
SKTree,ConsigneeKey_NIKEPH_LFREG02,ConsigneeKey_NIKEPH_LFREG02_-9,2.0017577648460643
SKTree,ConsigneeKey_NIKEPH_LFREG02,New Quantity_NIKEPH_LFREG02_-1,1.5844053708791912
SKTree,ConsigneeKey_NIKEPH_LFREG02,New Quantity_NIKEPH_LFREG02_-10,1.213959730939811
SKTree,ConsigneeKey_NIKEPH_LFREG02,New Quantity_NIKEPH_LFREG02_-11,3.3764953636862405
SKTree,ConsigneeKey_NIKEPH_LFREG02,New Quantity_NIKEPH_LFREG02_-12,1.0283198762810857
SKTree,ConsigneeKey_NIKEPH_LFREG02,New Quantity_NIKEPH_LFREG02_-13,3.6883493639928133
SKTree,ConsigneeKey_NIKEPH_LFREG02,New Quantity_NIKEPH_LFREG02_-14,4.91050822334186
SKTree,ConsigneeKey_NIKEPH_LFREG02,New Quantity_NIKEPH_LFREG02_-2,0.9641743416209525
SKTree,ConsigneeKey_NIKEPH_LFREG02,New Quantity_NIKEPH_LFREG02_-3,4.111697178280565
SKTree,ConsigneeKey_NIKEPH_LFREG02,New Quantity_NIKEPH_LFREG02_-4,1.8437785969132086
SKTree,ConsigneeKey_NIKEPH_LFREG02,New Quantity_NIKEPH_LFREG02_-5,2.3444519498638376
SKTree,ConsigneeKey_NIKEPH_LFREG02,New Quantity_NIKEPH_LFREG02_-6,1.697610824243142
SKTree,ConsigneeKey_NIKEPH_LFREG02,New Quantity_NIKEPH_LFREG02_-7,4.402063075507495
SKTree,ConsigneeKey_NIKEPH_LFREG02,New Quantity_NIKEPH_LFREG02_-8,0.12370061987639347
SKTree,ConsigneeKey_NIKEPH_LFREG02,New Quantity_NIKEPH_LFREG02_-9,3.261807054811023
SKTree,ConsigneeKey_NIKEPH_LFREG02,learning_rate,0.19445261209920667
SKTree,ConsigneeKey_NIKEPH_LFREG02,max_depth,5.0
SKTree,ConsigneeKey_NIKEPH_LFREG02,n_estimators,1.0
SKTree,ConsigneeKey_NIKEPH_LFREG02,subsample,0.7484717551568171
