Model,Column,Variable,Hyperparameter
SKTree,New Quantity_NIKEPH_LFREG01,ConsigneeKey_NIKEPH_LFREG01_-1,0.636994126960122
SKTree,New Quantity_NIKEPH_LFREG01,ConsigneeKey_NIKEPH_LFREG01_-10,0.36067496795728227
SKTree,New Quantity_NIKEPH_LFREG01,ConsigneeKey_NIKEPH_LFREG01_-11,3.252499848543648
SKTree,New Quantity_NIKEPH_LFREG01,ConsigneeKey_NIKEPH_LFREG01_-12,4.9982398244486514
SKTree,New Quantity_NIKEPH_LFREG01,ConsigneeKey_NIKEPH_LFREG01_-13,2.121389229834907
SKTree,New Quantity_NIKEPH_LFREG01,ConsigneeKey_NIKEPH_LFREG01_-14,1.5042843551956822
SKTree,New Quantity_NIKEPH_LFREG01,ConsigneeKey_NIKEPH_LFREG01_-2,4.532710348706868
SKTree,New Quantity_NIKEPH_LFREG01,ConsigneeKey_NIKEPH_LFREG01_-3,2.572496756968698
SKTree,New Quantity_NIKEPH_LFREG01,ConsigneeKey_NIKEPH_LFREG01_-4,1.3343898456101142
SKTree,New Quantity_NIKEPH_LFREG01,ConsigneeKey_NIKEPH_LFREG01_-5,2.2769035005832152
SKTree,New Quantity_NIKEPH_LFREG01,ConsigneeKey_NIKEPH_LFREG01_-6,0.06172559675939798
SKTree,New Quantity_NIKEPH_LFREG01,ConsigneeKey_NIKEPH_LFREG01_-7,2.430741103543297
SKTree,New Quantity_NIKEPH_LFREG01,ConsigneeKey_NIKEPH_LFREG01_-8,1.0637371486452352
SKTree,New Quantity_NIKEPH_LFREG01,ConsigneeKey_NIKEPH_LFREG01_-9,4.181971194412029
SKTree,New Quantity_NIKEPH_LFREG01,New Quantity_NIKEPH_LFREG01_-1,1.8342175834481684
SKTree,New Quantity_NIKEPH_LFREG01,New Quantity_NIKEPH_LFREG01_-10,4.933275787527281
SKTree,New Quantity_NIKEPH_LFREG01,New Quantity_NIKEPH_LFREG01_-11,2.920255855107597
SKTree,New Quantity_NIKEPH_LFREG01,New Quantity_NIKEPH_LFREG01_-12,0.06328720681008204
SKTree,New Quantity_NIKEPH_LFREG01,New Quantity_NIKEPH_LFREG01_-13,2.2497716503413026
SKTree,New Quantity_NIKEPH_LFREG01,New Quantity_NIKEPH_LFREG01_-14,2.919607927350846
SKTree,New Quantity_NIKEPH_LFREG01,New Quantity_NIKEPH_LFREG01_-2,2.4061547437505677
SKTree,New Quantity_NIKEPH_LFREG01,New Quantity_NIKEPH_LFREG01_-3,0.5015871297756243
SKTree,New Quantity_NIKEPH_LFREG01,New Quantity_NIKEPH_LFREG01_-4,3.778074244875651
SKTree,New Quantity_NIKEPH_LFREG01,New Quantity_NIKEPH_LFREG01_-5,0.7036766027574612
SKTree,New Quantity_NIKEPH_LFREG01,New Quantity_NIKEPH_LFREG01_-6,2.8852826956281206
SKTree,New Quantity_NIKEPH_LFREG01,New Quantity_NIKEPH_LFREG01_-7,2.4097602886362512
SKTree,New Quantity_NIKEPH_LFREG01,New Quantity_NIKEPH_LFREG01_-8,4.975868664631848
SKTree,New Quantity_NIKEPH_LFREG01,New Quantity_NIKEPH_LFREG01_-9,3.012705086796799
SKTree,New Quantity_NIKEPH_LFREG01,learning_rate,0.14737665652475535
SKTree,New Quantity_NIKEPH_LFREG01,max_depth,3.0
SKTree,New Quantity_NIKEPH_LFREG01,n_estimators,1.0
SKTree,New Quantity_NIKEPH_LFREG01,subsample,0.6024341504105298
