Model,Column,Variable,Hyperparameter
SKTree,New Quantity_NIKEPH_LFREG02,ConsigneeKey_NIKEPH_LFREG02_-1,3.85956851965095
SKTree,New Quantity_NIKEPH_LFREG02,ConsigneeKey_NIKEPH_LFREG02_-10,3.058371429015231
SKTree,New Quantity_NIKEPH_LFREG02,ConsigneeKey_NIKEPH_LFREG02_-11,2.601650519482571
SKTree,New Quantity_NIKEPH_LFREG02,ConsigneeKey_NIKEPH_LFREG02_-12,1.364548299905193
SKTree,New Quantity_NIKEPH_LFREG02,ConsigneeKey_NIKEPH_LFREG02_-13,4.409642425682856
SKTree,New Quantity_NIKEPH_LFREG02,ConsigneeKey_NIKEPH_LFREG02_-14,3.3706016861696075
SKTree,New Quantity_NIKEPH_LFREG02,ConsigneeKey_NIKEPH_LFREG02_-2,4.474339414773117
SKTree,New Quantity_NIKEPH_LFREG02,ConsigneeKey_NIKEPH_LFREG02_-3,2.330268312309263
SKTree,New Quantity_NIKEPH_LFREG02,ConsigneeKey_NIKEPH_LFREG02_-4,0.07911566897273078
SKTree,New Quantity_NIKEPH_LFREG02,ConsigneeKey_NIKEPH_LFREG02_-5,0.8779075167708226
SKTree,New Quantity_NIKEPH_LFREG02,ConsigneeKey_NIKEPH_LFREG02_-6,1.626397842360074
SKTree,New Quantity_NIKEPH_LFREG02,ConsigneeKey_NIKEPH_LFREG02_-7,2.6806423713976093
SKTree,New Quantity_NIKEPH_LFREG02,ConsigneeKey_NIKEPH_LFREG02_-8,0.4496154262611937
SKTree,New Quantity_NIKEPH_LFREG02,ConsigneeKey_NIKEPH_LFREG02_-9,4.950852547568203
SKTree,New Quantity_NIKEPH_LFREG02,New Quantity_NIKEPH_LFREG02_-1,4.400734451694155
SKTree,New Quantity_NIKEPH_LFREG02,New Quantity_NIKEPH_LFREG02_-10,3.6382071964953875
SKTree,New Quantity_NIKEPH_LFREG02,New Quantity_NIKEPH_LFREG02_-11,2.520240815230198
SKTree,New Quantity_NIKEPH_LFREG02,New Quantity_NIKEPH_LFREG02_-12,2.6867731650749045
SKTree,New Quantity_NIKEPH_LFREG02,New Quantity_NIKEPH_LFREG02_-13,2.1295584525122533
SKTree,New Quantity_NIKEPH_LFREG02,New Quantity_NIKEPH_LFREG02_-14,1.7946042600778969
SKTree,New Quantity_NIKEPH_LFREG02,New Quantity_NIKEPH_LFREG02_-2,4.547867148865672
SKTree,New Quantity_NIKEPH_LFREG02,New Quantity_NIKEPH_LFREG02_-3,4.29897991388252
SKTree,New Quantity_NIKEPH_LFREG02,New Quantity_NIKEPH_LFREG02_-4,0.022129644895776845
SKTree,New Quantity_NIKEPH_LFREG02,New Quantity_NIKEPH_LFREG02_-5,4.96611792672342
SKTree,New Quantity_NIKEPH_LFREG02,New Quantity_NIKEPH_LFREG02_-6,3.5763153908251346
SKTree,New Quantity_NIKEPH_LFREG02,New Quantity_NIKEPH_LFREG02_-7,2.879442614558579
SKTree,New Quantity_NIKEPH_LFREG02,New Quantity_NIKEPH_LFREG02_-8,2.5203484279099166
SKTree,New Quantity_NIKEPH_LFREG02,New Quantity_NIKEPH_LFREG02_-9,0.009276163335074417
SKTree,New Quantity_NIKEPH_LFREG02,learning_rate,0.30728838438542144
SKTree,New Quantity_NIKEPH_LFREG02,max_depth,5.0
SKTree,New Quantity_NIKEPH_LFREG02,n_estimators,0.0
SKTree,New Quantity_NIKEPH_LFREG02,subsample,0.6398417461567835
