LOCATION_GID,LOCATION_XID,LOCATION_NAME,CITY,PROVINCE,PROVINCE_CODE,POSTAL_CODE,COUNTRY_CODE3_GID,ZONE1,ZONE2,ZONE3,TIME_ZONE_GID,LAT,LON
LFL/TMS/PHL.698,698,SPYDER ADVENTURE OUTLETS,PASIG,NCR,PH-00,1600,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.57092,121.06545
LFL/TMS/PHL.1000122065,1000122065,WALL STREET ENETRPRISE,QUEZON CITY,NCR,PH-00,1100,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.6448,121.03338
LFL/TMS/PHL.1000113461,1000113461,AMAZFIT OFFICIAL STORE,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.59852,120.97966
LFL/TMS/PHL.100038626,100038626,YABKAL OUTDOOR,MAKATI,NCR,PH-00,1200,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.54232,121.0116
LFL/TMS/PHL.1000101618,1000101618,YUMMY ORGANICS,QUEZON CITY,NCR,PH-00,1100,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.61387,121.03622
LFL/TMS/PHL.100004108,100004108,SHAARII SHAARII STORE,MAKATI,NCR,PH-00,1200,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.54909,121.06546
LFL/TMS/PHL.100012468,100012468,BETTER ONE,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.61344,120.97832
LFL/TMS/PHL.15958,15958,KING DOM CAR,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.62035,120.99219
LFL/TMS/PHL.100024554,100024554,TIPID MOTO,QUEZON CITY,NCR,PH-00,1100,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.66018,121.01699
LFL/TMS/PHL.26271,26271,COMFORT LIVING PH,QUEZON CITY,NCR,PH-00,1100,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.64104,121.01228
LFL/TMS/PHL.100071523,100071523,CHASER ACTION SPORTS,QUEZON CITY,NCR,PH-00,1100,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.61173,121.01797
LFL/TMS/PHL.13910,13910,UNICORN SELECTED,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.60919,120.9763
LFL/TMS/PHL.100142726,100142726,SONIX AND TJ ENTERPRISE,QUEZON CITY,NCR,PH-00,1100,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.62218,121.04762
LFL/TMS/PHL.1000123127,1000123127,PICCADILLY,QUEZON CITY,NCR,PH-00,1100,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.60823,121.03925
LFL/TMS/PHL.12372,12372,LAROSSO HOME,LAS PINAS,NCR,PH-00,1740,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.46825,120.99851
LFL/TMS/PHL.26246,26246,GIGA WARE,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.59913,120.97295
LFL/TMS/PHL.100146221,100146221,MSI LINK,QUEZON CITY,NCR,PH-00,1100,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.63531,121.0325
LFL/TMS/PHL.5807,5807,PETS AND BEYOND,QUEZON CITY,NCR,PH-00,1100,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.62669,121.0117
LFL/TMS/PHL.314,314,BLADE AUTO CENTER,QUEZON CITY,NCR,PH-00,1100,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.63353,121.04038
LFL/TMS/PHL.100069035,100069035,OFFICIAL GREE SHOP,PASIG,NCR,PH-00,1600,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.58057,121.07754
LFL/TMS/PHL.100133424,100133424,ERIC THE ACCESSORY GUY,QUEZON CITY,NCR,PH-00,1100,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.73329,121.04813
LFL/TMS/PHL.1000006259,1000006259,SOLID CHEM,QUEZON CITY,NCR,PH-00,1100,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.66068,121.04367
LFL/TMS/PHL.100112699,100112699,BRANDMAXIMIZERS,MANDALUYONG,NCR,PH-00,1550,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.57486,121.05468
LFL/TMS/PHL.14890,14890,FIBRELLA,QUEZON CITY,NCR,PH-00,1100,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.71846,121.02423
LFL/TMS/PHL.85,85,KITCHEN AID,MANDALUYONG,NCR,PH-00,1550,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.57435,121.05068
